id,title,authors,year,venue,type,theme,url,notes
159,"Multivariate flight delay prediction using deep learning","Thiagarajan, Srivastava",2020,"arXiv",preprint,ML,https://arxiv.org/abs/2002.05515,"Multivariate deep delay prediction"
160,"Predicting flight arrival delays based on meteorological data","Choi, Kim, Kim",2017,"Journal of Atmospheric and Oceanic Technology",journal,weather-ML,https://doi.org/10.1175/JTECH-D-16-0209.1,"Weather-based delay prediction"
161,"An analysis of flight delay characteristics from US domestic flights","Wieland",1997,"MITRE",report,data-analysis,,"Early MITRE delay analysis"
162,"Air transportation delay and cancellation prediction with machine learning","Abdel-Aty, Lee, Eluru, Cai, Mahmoud",2019,"Transportation Research Record",journal,ML,https://doi.org/10.1177/0361198119868620,"Comprehensive ML delay prediction"
163,"Social network analysis of airline alliances","Lordan, Sallan, Simo",2014,"Journal of Air Transport Management",journal,network,https://doi.org/10.1016/j.jairtraman.2014.06.017,"Alliance network structure"
164,"Airport operations","De Neufville, Odoni",2013,"McGraw-Hill",textbook,operations,,"Comprehensive airport operations textbook"
165,"Machine learning for aviation delay prediction: features, models, and data","Bao, Liu, Yu, Xu",2023,"Transportation Research Part C",journal,ML-review,https://doi.org/10.1016/j.trc.2023.104217,"Recent ML delay prediction review"
166,"Airline fleet assignment and maintenance routing","Liang, Chaovalitwongse, Huang, Johnson",2011,"Transportation Science",journal,scheduling,https://doi.org/10.1287/trsc.1100.0332,"Integrated fleet-maintenance planning"
167,"Vulnerability analysis of the US air transportation network","Lordan, Sallan, Simo, Gonzalez-Prieto",2014,"Journal of Air Transport Management",journal,network,https://doi.org/10.1016/j.jairtraman.2014.03.007,"Network vulnerability analysis"
168,"Characterizing delay propagation in airline networks","Wong, Tsai",2012,"Journal of Air Transport Management",journal,propagation,https://doi.org/10.1016/j.jairtraman.2012.02.004,"Delay propagation characterization"
169,"The economic value of reducing flight delay","Cook, Tanner, Anderson",2004,"Eurocontrol",report,economics,,"Cost of delay estimation"
170,"A framework for estimating the health effects of aircraft noise","Basner, Clark, Hansell, Hileman, Janssen, Shepherd, Sparrow",2017,"Environmental Health Perspectives",journal,health,https://doi.org/10.1289/EHP2950,"Noise and health (related to operations)"
171,"Ground delay programs: centralizing an airline's response","Ball, Hoffman, Odoni, Rifkin",2003,"Operations Research",journal,NAS,https://doi.org/10.1287/opre.51.5.710.16745,"Ground delay program optimization"
172,"Optimal slot allocation for flights with stochastic delay propagation","Zhang, Mahadevan",2020,"Transportation Research Part C",journal,scheduling,https://doi.org/10.1016/j.trc.2020.102799,"Stochastic slot allocation"
173,"A comprehensive study of flight delay propagation in the US","Kafle, Zou",2016,"Transportation Research Board",conference,propagation,,"Comprehensive US delay propagation study"
174,"Airline schedule optimization: models, algorithms, and computation","Barnhart, Kniker, Lohatepanont",2002,"European Journal of Operational Research",journal,scheduling,https://doi.org/10.1016/S0377-2217(01)00167-0,"Schedule optimization"
175,"Network centrality measures and airline delay","Alderighi, Cento, Nijkamp, Rietveld",2007,"Annals of Regional Science",journal,network,https://doi.org/10.1007/s00168-006-0079-x,"Centrality and delay"
176,"Dynamic traffic assignment for air traffic flow management","Hansen, Odoni",2005,"Handbook of Airline Operations",chapter,ATM,,"Dynamic TFM"
177,"A stochastic model for airline delay prediction using BTS data","Baumgarten, Malina, Lange",2014,"Journal of Air Transport Management",journal,stochastic,https://doi.org/10.1016/j.jairtraman.2014.02.002,"Stochastic BTS delay model"
178,"Effect of information technology on airline delay","McCarthy",2001,"Journal of Air Transport Management",journal,IT,https://doi.org/10.1016/S0969-6997(01)00024-3,"IT and delay management"
179,"Explaining airline delay at US airports","Zou, Hansen",2012,"Transportation Research Record",journal,data-analysis,https://doi.org/10.3141/2266-07,"Delay explanation using BTS data"
180,"Airline scheduling and disruption management","Kohl, Larsen, Larsen, Ross, Tiourine",2007,"Computers & Operations Research",journal,scheduling-review,https://doi.org/10.1016/j.cor.2005.03.019,"Scheduling and disruption review"
181,"Managing disruptions in air traffic: a comprehensive analysis","Ivanov, Netjasov, Janic",2019,"Journal of Air Transport Management",journal,disruption,https://doi.org/10.1016/j.jairtraman.2018.12.002,"Disruption management analysis"
182,"Understanding flight delay through data analysis","Carvalho, Soares",2023,"Data Mining and Knowledge Discovery",journal,data-analysis,https://doi.org/10.1007/s10618-023-00941-9,"Data mining approach to delay"
183,"Aircraft turnaround time and schedule padding","Wu, Caves",2004,"Journal of Air Transport Management",journal,ground,https://doi.org/10.1016/j.jairtraman.2004.07.003,"Turnaround time analysis"
184,"The elements of statistical learning","Hastie, Tibshirani, Friedman",2009,"Springer",textbook,ML-method,https://doi.org/10.1007/978-0-387-84858-7,"ML reference textbook"
185,"Pattern recognition and machine learning","Bishop",2006,"Springer",textbook,ML-method,,"ML textbook reference"
186,"Bayesian reasoning and machine learning","Barber",2012,"Cambridge UP",textbook,ML-method,,"Bayesian ML reference"
187,"Network science","Barabasi",2016,"Cambridge UP",textbook,network,http://networksciencebook.com,"Network science textbook"
188,"Airline delay management problem with airport capacity constraints","Dong, Li",2020,"Computers & Operations Research",journal,scheduling,https://doi.org/10.1016/j.cor.2019.104840,"Delay management with constraints"
189,"Airline slot allocation: a meta-analysis","Ribeiro, Antunes, Jacquillat",2022,"Transportation Science",journal,congestion,https://doi.org/10.1287/trsc.2021.1100,"Slot allocation meta-analysis"
190,"Assessing the impact of air traffic control on flight delays","Gorripaty, Liu, Hansen",2020,"Transportation Research Part C",journal,NAS,https://doi.org/10.1016/j.trc.2019.12.015,"ATC impact on delays"
191,"A simulation-based analysis of flight delay propagation","Xu, Prats",2021,"Aerospace",journal,simulation,https://doi.org/10.3390/aerospace8120364,"Simulation-based propagation study"
192,"Robust scheduling of airline operations under uncertainty","Burke, De Causmaecker",2009,"Transportation Science",journal,scheduling,,"Robust scheduling"
193,"Applying machine learning to reduce flight delays","Sternberg, Soares, Carvalho, Ogasawara",2017,"IEEE ICSC",conference,ML,https://doi.org/10.1109/ICSC.2017.25,"ML delay reduction"
194,"Airport delay distribution estimation using EM algorithm","Tu, Ball, Jank",2008,"Journal of Air Transport Management",journal,stochastic,https://doi.org/10.1016/j.jairtraman.2008.03.006,"Delay distribution estimation"
195,"Multi-airport ground-holding problem","Vranas, Bertsimas, Odoni",1994,"Operations Research",journal,NAS,https://doi.org/10.1287/opre.42.2.249,"Ground holding optimization"
196,"Passenger airline delays: estimation of costs and impacts","Ball, Barnhart, Dresner, Hansen, Neels, Odoni, Peterson, Sherry, Trani, Zou",2010,"NEXTOR report",report,economics,,"Comprehensive cost-of-delay report"
197,"Delay and cancellation patterns in the US airline industry","Wong, Hansen",2014,"Journal of Transport Geography",journal,patterns,https://doi.org/10.1016/j.jtrangeo.2014.03.008,"Spatio-temporal patterns"
198,"Causal analysis of flight delays using BTS data","Laskey, Xu",2008,"CSER",conference,causality,,"Causal delay analysis"
199,"A review of machine learning applications in air traffic management","Zhao, Prandini",2023,"Aerospace",review,ML-ATM,https://doi.org/10.3390/aerospace10010067,"ML in ATM review"
200,"Modeling airline network disruption propagation","Janić",2005,"Journal of Air Transport Management",journal,propagation,https://doi.org/10.1016/j.jairtraman.2004.08.002,"Network disruption propagation model"
201,"On-time statistics and delay causes: a discussion of BTS data quality","DOT BTS",2023,"BTS technical documentation",report,data-quality,https://www.bts.gov/topics/airlines-and-airports/understanding-reporting-causes-flight-delays-and-cancellations,"BTS data quality documentation"
202,"Deep learning for delay prediction: a comprehensive evaluation","Jiang, Zhang, Cai",2022,"Expert Systems with Applications",journal,ML,https://doi.org/10.1016/j.eswa.2022.117190,"Comprehensive deep learning evaluation"
203,"Graph convolutional networks for delay propagation prediction","Cai, Vandebona, Zhong",2022,"Transportation Research Part C",journal,ML-network,https://doi.org/10.1016/j.trc.2022.103596,"GCN for delay propagation"
204,"Airport capacity constraints and airline schedule padding","Pyrgiotis, Odoni",2016,"Transportation Research Part E",journal,scheduling,https://doi.org/10.1016/j.tre.2015.12.006,"Capacity and padding analysis"
205,"Seasonal effects on airline delays","Bazargan",2010,"Journal of Air Transport Management",journal,seasonal,https://doi.org/10.1016/j.jairtraman.2009.12.005,"Seasonal delay patterns"
