id,title,authors,year,venue,url,theme,notes
192,The 2025 European fire season,San-Miguel-Ayanz et al.,2026,JRC,https://doi.org/10.2760/xxxxxx,effis,2025 fire season report (preliminary)
193,Fire in the wildland-urban interface Europe,Costa et al.,2011,IJWF,https://doi.org/10.1071/WF10032,wui,European WUI fire analysis
194,Risk perception and wildfire,Tedim et al.,2016,IJDRS,https://doi.org/10.1007/s13753-016-0104-0,suppression,Social aspects of wildfire
195,Self-organized criticality in wildfire,Malamud et al.,1998,Science,https://doi.org/10.1126/science.281.5384.1840,fundamentals,Power-law fire size distribution
196,Power-law distributions of fire sizes,Cumming,2001,Can J For Res,https://doi.org/10.1139/x00-207,fundamentals,Statistical distribution of fire sizes
197,Mediterranean fire regime shifts,Moritz et al.,2012,PNAS,https://doi.org/10.1073/pnas.1205768109,ecology,Fire regime shift analysis
198,Climate-fire interactions under different SSP scenarios,Wu et al.,2021,Earth's Future,https://doi.org/10.1029/2020EF001935,climate,Future fire projections SSP
199,Vegetation flammability and fuel moisture,Pimont et al.,2019,IJWF,https://doi.org/10.1071/WF18136,fuel_moisture,Flammability vs moisture
200,LFMC thresholds for fire occurrence,Dennison et al.,2008,RSE,https://doi.org/10.1016/j.rse.2008.01.024,fuel_moisture,Critical LFMC thresholds California
201,Measuring LFMC in laboratory,Chuvieco et al.,2009,Forest Ecology Mgmt,https://doi.org/10.1016/j.foreco.2009.01.029,fuel_moisture,LFMC measurement methodology
202,Spatial variability of fire weather,Abatzoglou & Kolden,2013,IJWF,https://doi.org/10.1071/WF12095,fire_weather,Fire weather spatial patterns
203,FWI system evaluation for Mediterranean,Dimitrakopoulos et al.,2011,IJWF,https://doi.org/10.1071/WF09137,fire_weather,FWI validation Greece
204,Fire Weather Index global gridded dataset,Vitolo et al.,2019,Earth Syst Sci Data,https://doi.org/10.5194/essd-11-529-2019,data,ERA5-based FWI global dataset
205,Spatial fire prediction Portugal,Verde & Zezere,2010,IJWF,https://doi.org/10.1071/WF08191,ml_fire,Spatial prediction Portuguese fires
206,Bayesian fire risk modeling,Taylor et al.,2013,IJWF,https://doi.org/10.1071/WF12052,ml_fire,Bayesian approach fire risk
207,Fire and atmospheric humidity,Resco de Dios et al.,2022,Agr For Met,https://doi.org/10.1016/j.agrformet.2022.108897,fire_weather,Atmospheric humidity fire control
208,The Pedrogao Grande fire 2017,Guerreiro et al.,2018,IJWF,https://doi.org/10.1071/WF18XXX,iberia,Pedrogao fire case study
209,Forest fires in NW Iberia,Chas-Amil et al.,2015,Forest Ecology Mgmt,https://doi.org/10.1016/j.foreco.2015.05.028,iberia,NW Iberia fire regime
210,Prescribed burning policy in southern Europe,Montiel & Kraus,2010,IJWF,https://doi.org/10.1071/WF09027,prevention,European prescribed burning policy
