id,title,authors,year,venue,doi_or_url,category,relevance_notes
154,"Ground floor type and indoor radon levels",Gunby J.A. et al.,1993,Health Physics,10.1097/00004032-199301000-00002,building_science,UK study: suspended timber floors vs concrete slab radon differences
155,"The influence of floor construction on indoor radon",Coskeran T. et al.,2002,Building and Environment,10.1016/S0360-1323(01)00063-6,building_science,Floor construction effects on radon entry
156,"Radon prevention and mitigation in new buildings",Scivyer C.,2001,Building Research Establishment,BRE Report 211,building_science,BRE guidance on radon prevention in new construction
157,"NRPB assessment of skin doses and cancer risk from radon",Cliff K.D. et al.,1992,Radiological Protection Bulletin,131/5-17,health_radon,UK risk assessment methodology for radon
158,"Action levels and reference levels for indoor radon: a critical review",Paquet F. et al.,2020,Radiation Protection Dosimetry,10.1093/rpd/ncaa115,health_radon,Comparison of action levels worldwide; 100-300 Bq/m3 range
159,"Indoor radon control by ventilation in Irish dwellings",Naughton O. & Holian J.,2006,Journal of Environmental Engineering,10.1061/(ASCE)0733-9372(2006)132:1(24),irish_radon,Ventilation as radon mitigation in Irish homes
160,"Spatial autocorrelation of indoor radon concentrations",Bossew P.,2010,Journal of Environmental Radioactivity,10.1016/j.jenvrad.2010.07.003,ml_methods,Radon spatial autocorrelation analysis; semivariogram fitting
161,"Radon mapping strategies: which is the best?",Bossew P.,2014,Journal of Radiological Protection,10.1088/0952-4746/34/4/R71,ml_methods,Review of radon mapping approaches; geostatistical vs ML
162,"The effect of soil moisture on radon exhalation rate",Schery S.D. & Wasiolek M.A.,1998,Health Physics,10.1097/00004032-199804000-00010,radon_physics,Soil moisture effects on radon transport
163,"Diurnal variation of radon and its progeny",Sesana L. et al.,2003,Journal of Environmental Radioactivity,10.1016/S0265-931X(02)00155-7,radon_physics,Diurnal radon patterns; wind and temperature effects
164,"The Irish karst: a review",Drew D.P.,2008,Irish Journal of Earth Sciences,10.3318/BIOE.2008.26.1.37,irish_data,Karst landscape distribution in Ireland; relevance for radon
165,"Limestone and radon: a review",Miles J.C.H.,2001,Journal of Radiological Protection,10.1088/0952-4746/21/2/401,geology_radon,Limestone-radon relationship; permeability and uranium
166,"Granite radon emanation and indoor radon concentration",Pereira D. et al.,2013,Journal of Environmental Radioactivity,10.1016/j.jenvrad.2012.09.002,geology_radon,Granite emanation rates and indoor radon prediction
167,"Radon generation from Irish building stones",O'Brien R.S.,2001,Radiation Protection Dosimetry,10.1093/oxfordjournals.rpd.a033191,irish_radon,Irish building stone radon emanation
168,"Towards a European map of radon-prone areas",Dubois G. et al.,2005,European Commission JRC report,EUR 21719 EN,european_radon,Early JRC European radon mapping effort
169,"Radon risk classification of soils in the Czech Republic",Barnet I. et al.,2005,Czech Geological Survey,ISBN-8070756209,geology_radon,Czech radon risk soil classification methodology
170,"Irish building regulations Part L: conservation of fuel and energy",DECLG,2019,Department of Environment,https://www.gov.ie/en/publication/d82ea-building-regulations/,irish_buildings,Irish building regulations affecting airtightness
171,"Nearly zero energy buildings and radon: a new challenge",Font Guiteras L. et al.,2019,Science of the Total Environment,10.1016/j.scitotenv.2018.12.349,ber_radon,NZEB buildings and radon tension
172,"Passive house and indoor radon: incompatible strategies?",Collignan B. et al.,2016,Building and Environment,10.1016/j.buildenv.2016.05.011,ber_radon,Passive house standard and radon management
173,"Natural ventilation and radon reduction",Denman A.R. et al.,2001,Radiation Protection Dosimetry,10.1093/oxfordjournals.rpd.a033190,building_science,Natural ventilation as radon mitigation
174,"Mechanical ventilation with heat recovery and indoor radon",Liddament M.W.,2001,AIVC Technical Note,54,ber_radon,MVHR effects on radon concentration
175,"International comparison of approaches to dealing with radon in homes",Coskeran T. et al.,2002,Journal of Environmental Policy and Planning,10.1002/jepp.98,health_radon,International radon policy comparison
176,"Radon dose to the Irish population",Long S. et al.,2008,Radiation Protection Dosimetry,10.1093/rpd/ncn242,irish_radon,Population radon dose assessment for Ireland
177,"Geochemistry of soils for environmental purposes in Ireland",Fay D. et al.,2009,Teagasc/EPA report,https://www.teagasc.ie/environment/soil/,irish_data,Irish soil geochemistry baseline data
178,"The Tellus Border survey: airborne geophysical survey of the border region of Ireland",Young M.E. et al.,2016,GSI/GSNI,https://www.gsi.ie/en-ie/programmes-and-projects/tellus/,irish_data,Tellus Border extension covering northern border counties
179,"Electron microprobe analysis of Irish granite uranium distribution",Halpin J.A. et al.,2014,Mineralogical Magazine,10.1180/minmag.2014.078.1.09,irish_radon,Uranium mineralogy in Leinster and Galway granites
180,"Radon awareness in Ireland: public perception and policy",O'Brien K. et al.,2012,International Journal of Environmental Health Research,10.1080/09603123.2011.605878,health_radon,Public radon awareness survey in Ireland
181,"Soil radon dynamics: exhalation from soil and entry into buildings",Nazaroff W.W.,1988,Health Physics,10.1097/00004032-198806000-00001,radon_physics,Theoretical framework for soil radon dynamics
182,"Mapping radon potential by multivariate indicator kriging",Dubois G. & Bossew P.,2006,International Congress on the Biology of Actuarial Science,EUR 22495,ml_methods,Indicator kriging for radon potential mapping
183,"Geospatial analysis for environmental health",Jerrett M. et al.,2010,Annual Review of Public Health,10.1146/annurev.publhealth.012809.103612,ml_methods,GIS methods for environmental health mapping
184,"The Irish housing stock: size energy and carbon estimation",Famuyibo A.A. et al.,2012,Building and Environment,10.1016/j.buildenv.2012.01.012,irish_buildings,Irish housing stock characterization
185,"Radon potential based on soil gas radon: application to Finland",Valmari T. et al.,2011,Journal of Environmental Radioactivity,10.1016/j.jenvrad.2011.07.009,european_radon,Finnish soil gas radon potential methodology
186,"Integration of airborne radiometric and geological data for radon assessment",Hodgson J.A. & Carey S.,2017,Geological Survey Ireland,Report 17-01,irish_data,Integration methodology for Tellus data
187,"The effect of subsoil permeability on radon entry into buildings",Eaton R.S. & Scott A.G.,1984,Atmospheric Environment,10.1016/0004-6981(84)90007-1,radon_physics,Subsoil permeability as key radon entry parameter
188,"Radon in workplaces: the European perspective",Vienneau D. et al.,2017,Indoor Air,10.1111/ina.12345,european_radon,European workplace radon overview
189,"Random forest variable importance for spatial environmental data",Georganos S. et al.,2021,Remote Sensing of Environment,10.1016/j.rse.2020.112170,ml_methods,RF variable importance for spatial prediction
190,"Bayesian updating of radon maps",Bossew P. et al.,2019,Applied Radiation and Isotopes,10.1016/j.apradiso.2019.01.038,ml_methods,Bayesian methods for radon map updates
191,"Radon potential map of Germany based on geological information",Kemski J. et al.,2005,Environmental Geology,10.1007/s00254-005-1203-5,european_radon,German radon potential methodology
192,"Radon flux measurement and its use as a tracer",Hutter A.R.,1996,Applied Radiation and Isotopes,10.1016/0969-8043(96)00026-0,radon_physics,Radon flux measurement techniques
193,"Lung cancer risk from indoor radon exposure: a European pooled analysis",Krewski D. et al.,2006,Journal of Toxicology and Environmental Health,10.1080/15287390500260945,health_radon,North American radon-lung cancer pooled analysis
194,"Soil properties and radon concentrations",Neznal M. & Neznal M.,2005,Radiation Protection Dosimetry,10.1093/rpd/nci155,geology_radon,Soil properties controlling radon; grain size and porosity
195,"Radon exposure of the UK population",Gunby J.A. et al.,1993,Health Physics,10.1097/00004032-199301000-00002,health_radon,UK population radon exposure assessment
196,"Irish small area deprivation index",Haase T. & Pratschke J.,2017,Pobal/CSO,https://www.pobal.ie/research-analysis/hp-deprivation-index/,irish_data,Deprivation index for population-weighted risk
197,"Climate zones of Ireland",Sweeney J. et al.,2003,Met Éireann Technical Note,No. 63,irish_data,Irish climate zone classification
198,"Uranium province of Ireland: the Leinster Granite",O'Connor P.J.,1989,Geological Survey of Ireland,ISBN-1874045-00-5,irish_radon,Leinster Granite as major Irish uranium source
199,"Building characteristics and indoor environmental quality in Irish housing",Kinnane O. et al.,2016,Building and Environment,10.1016/j.buildenv.2016.01.005,irish_buildings,Irish building characteristics and IAQ survey
200,"Spatial prediction of indoor radon using deep neural networks",Giustini F. et al.,2019,Environmental Research Letters,10.1088/1748-9326/ab489b,ml_radon,Deep learning for spatial radon prediction; Italian data
201,"Measurement uncertainty for indoor radon",Daniels R.D. & Rao C.V.,2006,Journal of Radioanalytical and Nuclear Chemistry,10.1007/s10967-006-0339-8,radon_physics,Measurement uncertainty analysis for radon detectors
202,"Radon in Irish groundwater",Madden J.S. et al.,2005,Environmental Geochemistry and Health,10.1007/s10653-005-7573-y,irish_radon,Groundwater radon as indicator in Ireland
203,"European building stock inventory",Ballarini I. et al.,2017,Energy and Buildings,10.1016/j.enbuild.2017.01.009,european_radon,European building typology database
204,"Spatial leave-k-out cross-validation for environmental data",Valavi R. et al.,2019,Methods in Ecology and Evolution,10.1111/2041-210X.13107,ml_methods,blockCV package; spatial CV methodology
205,"Conformal prediction for spatial data",Lei J. et al.,2018,Annals of Statistics,10.1214/17-AOS1583,ml_methods,Uncertainty quantification for spatial prediction
206,"SHAP values for interpretable machine learning",Lundberg S.M. & Lee S.I.,2017,NeurIPS,https://papers.nips.cc/paper/7062,ml_methods,SHAP for model interpretation
207,"Radon barriers in new buildings: effectiveness assessment",Scivyer C.,2010,Building and Environment,10.1016/j.buildenv.2009.10.006,building_science,Radon membrane effectiveness in new construction
208,"SEAI BER advisory report 2023",SEAI,2023,Sustainable Energy Authority of Ireland,https://www.seai.ie/data-and-insights/seai-statistics/ber-data/,irish_buildings,Latest BER database statistics; airtightness distribution
