id,title,authors,year,venue,doi_or_url,theme,notes
90,Rolling horizon control framework for driver assistance systems. Part II: Cooperative sensing and cooperative control,"Wang M., Daamen W., Hoogendoorn S.P., van Arem B.",2014,Transportation Research Part C 40:290-311,10.1016/j.trc.2013.11.024,ACC/CACC,"Companion paper to [89] with implementation-level MPC details."
91,Model Predictive Control for Distributed Systems,"Camponogara E., Jia D., Krogh B.H., Talukdar S.",2002,IEEE Control Systems Magazine 22(1):44-52,10.1109/37.980246,MPC,"General reference for distributed MPC; relevant to platoon-level control formulations."
92,Receding horizon network control,"Jia D., Krogh B.H.",2001,American Control Conference 2001 pp.4884-4889,10.1109/ACC.2001.945765,MPC,"Early networked MPC reference used as theoretical background for distributed CACC MPCs."
93,Model predictive control system design and implementation for vehicle platooning,"Dunbar W.B., Caveney D.S.",2012,IEEE Transactions on Intelligent Transportation Systems 13(3):1145-1158,10.1109/TITS.2011.2179045,MPC,"Distributed MPC for platoon control with formal stability certificates."
94,Longitudinal vehicle controller design for IVHS systems,"Hedrick J.K., McMahon D.H., Narendran V.K., Swaroop D.",1991,American Control Conference 1991 pp.3107-3112,10.23919/ACC.1991.4791589,Platoons,"Classical PATH-era platoon longitudinal control reference."
95,Automatic Highway Systems - A Final Report,"Shladover S.E.",1995,California PATH Research Report UCB-ITS-PRR-95-11,https://escholarship.org/uc/item/9tn4k3kr,Platoons,"PATH program summary; historical AHS demonstrations precursor to modern mixed autonomy."
96,Automated Vehicle Control Developments in the PATH Program,"Varaiya P.",1993,IEEE Transactions on Vehicular Technology 42(2):114-130,10.1109/25.231881,Platoons,"Seminal IVHS / automated highway systems architecture paper. Establishes the platoon/string control paradigm."
97,Smart cars on smart roads: problems of control,"Varaiya P.",1993,IEEE Transactions on Automatic Control 38(2):195-207,10.1109/9.250509,Platoons,"Classical control-theoretic view of automated highway systems."
98,The Karlsruhe Lane Change Assistant: A first result of the KONVOI project,"Konvoi project group",2009,5th European Congress and Exhibition on Intelligent Transport Systems,N/A,ACC/CACC,"KONVOI CACC truck platoon field demonstration (Germany). Early real-world CACC field data."
99,Experimental investigation of cooperative adaptive cruise control on tracks,"Milanés V., Shladover S.E., Spring J., Nowakowski C., Kawazoe H., Nakamura M.",2014,IEEE Transactions on Intelligent Transportation Systems 15(1):296-305,10.1109/TITS.2013.2278494,ACC/CACC,"PATH/Nissan four-vehicle CACC field experiments on a closed track; string stability demonstrated experimentally with a 0.6-0.9 s time gap."
100,Cooperative Adaptive Cruise Control Implementation in the Grand Cooperative Driving Challenge,"Kianfar R., Augusto B., Ebadighajari A., Hakeem U., Nilsson J., Raza A., Tabar R.S., Irukulapati N.V., Englund C., Falcone P., Papanastasiou S., Svensson L., Wymeersch H.",2012,IEEE Transactions on Intelligent Transportation Systems 13(3):994-1007,10.1109/TITS.2012.2201177,ACC/CACC,"Details one of the GCDC-2011 winning CACC implementations."
101,Decentralized cooperative lane-changing decision-making for connected autonomous vehicles,"Wang M., Hoogendoorn S.P., Daamen W., van Arem B., Happee R.",2015,Transportation Research Part C 58:73-92,10.1016/j.trc.2015.07.009,Connected vehicles,"Cooperative lane-change MPC in mixed autonomy; matters for practical wave suppression when lane changes seed oscillations."
102,Simulation to scaled city: zero-shot policy transfer for traffic control via autonomous vehicles,"Jang K., Vinitsky E., Chalaki B., Remer B., Beaver L., Malikopoulos A.A., Bayen A.M.",2019,International Conference on Cyber-Physical Systems (ICCPS) pp.291-300,10.1145/3302509.3313784,Mixed autonomy,"Zero-shot RL-to-real transfer on the University of Delaware scaled city. Closes part of the sim-to-real gap for traffic RL."
103,Quantifying air quality benefits resulting from few autonomous vehicles stabilizing traffic,"Stern R.E., Chen Y., Churchill M., Wu F., Delle Monache M.L., Piccoli B., Seibold B., Sprinkle J., Work D.B.",2019,Transportation Research Part D 67:351-365,10.1016/j.trd.2018.12.008,Energy & emissions,"Air-quality gains from the Stern 2018 ring field test: NOx -4% to -10%, fuel -40%."
104,An overview of vehicular platoon control under the four-component framework,"Zheng Y., Li S.E., Li K., Borrelli F., Hedrick J.K.",2016,Vehicle System Dynamics 54(3):356-394,10.1080/00423114.2015.1137894,Platoons,"Review article classifying platoon controllers by node dynamics, information flow topology, formation geometry, and control law."
105,Stability and Scalability of Homogeneous Vehicular Platoon: Study on the Influence of Information Flow Topologies,"Zheng Y., Li S.E., Wang J., Cao D., Li K.",2016,IEEE Transactions on Intelligent Transportation Systems 17(1):14-26,10.1109/TITS.2015.2402153,Platoons,"Proves how predecessor-only, predecessor-leader, and bidirectional topologies affect scalability and string stability."
106,"Cooperative driving: an ant colony system for autonomous intersection management","Dresner K., Stone P.",2008,Journal of Artificial Intelligence Research 31:591-656,10.1613/jair.2502,Connected vehicles,"AI-style intersection management for CAVs. Relevant as downstream destination for wave-free freeway flow."
107,Traffic shockwave attenuation via variable speed limits,"Hegyi A., De Schutter B., Hellendoorn H.",2005,Transportation Research Part C 13(3):185-209,10.1016/j.trc.2004.08.001,VSL,"Model-predictive VSL controller that smooths shockwaves. Eulerian counterpart to Lagrangian AV control."
108,Dynamic traffic control using SPECIALIST: a Variable Speed Limit algorithm for shock-wave suppression,"Hegyi A., Hoogendoorn S.P., Schreuder M., Stoelhorst H., Viti F.",2008,IEEE ITSC 2008 pp.827-832,10.1109/ITSC.2008.4732632,VSL,"Field trial of the SPECIALIST VSL algorithm on a Dutch motorway; significant reduction in wide moving jams."
109,Model predictive control for variable speed limit systems,"Hegyi A., De Schutter B., Hellendoorn J.",2005,IEEE Transactions on Intelligent Transportation Systems 6(1):102-112,10.1109/TITS.2004.842408,VSL,"MPC formulation for VSL with an underlying METANET model."
110,Variable speed limits on I-4 in Orlando: experience,"Chang J., Lin P.-W., Paniati J.F.",2011,Transportation Research Record 2221:59-68,10.3141/2221-07,VSL,"Real-world VSL deployment data; useful reference for the eulerian baseline."
111,Coordinated ramp metering: A study case,"Papageorgiou M., Hadj-Salem H., Middelham F.",1997,IEEE Transactions on Intelligent Transportation Systems 3(1):7-13,10.1109/6979.828836,Ramp metering,"ALINEA ramp metering. Classical feedback policy for local bottleneck stabilization."
112,ALINEA: A Local Feedback Control Law for On-Ramp Metering,"Papageorgiou M., Hadj-Salem H., Blosseville J.-M.",1991,Transportation Research Record 1320:58-64,N/A,Ramp metering,"The original ALINEA paper; simple, effective, pedagogically useful baseline for any upstream-bottleneck HDR scenario."
113,ALINEA Local Ramp Metering: Summary of Field Results,"Papageorgiou M., Kotsialos A.",2002,Transportation Research Record 1603:90-98,10.3141/1603-12,Ramp metering,"Review of multi-site ALINEA deployments."
114,Learning a robust multi-agent driving policy for traffic congestion reduction,"Jang K., Vinitsky E., Kreidieh A., Bayen A.M.",2023,Neural Computing and Applications 35:27105-27123,10.1007/s00521-023-09183-8,RL / Flow framework,"Multi-agent decentralized RL policies for mixed autonomy; shows robust wave dissipation across demand regimes."
115,Optimizing Mixed Autonomy Traffic Flow with Decentralized Autonomous Vehicles and Multi-Agent Reinforcement Learning,"Yan L., Wu C.",2023,ACM Transactions on Cyber-Physical Systems 7(3) Art.16,10.1145/3582576,RL / Flow framework,"Large-scale decentralized MARL study of mixed-autonomy ring and bottleneck benchmarks; PPO with graph state."
116,Emergent Cooperative Driving Strategies for Stop-and-Go Wave Mitigation via Multi-Agent Reinforcement Learning,"(anonymized; see arXiv record)",2025,arXiv:2511.14378,https://arxiv.org/abs/2511.14378,Recent,"Recent MARL paper on emergent cooperative CAV policies specifically targeting stop-and-go wave mitigation."
117,Lagrangian traffic flow measurement,"Edie L.C., Foote R.S.",1958,Highway Research Board Proceedings 37:334-344,N/A,Empirical,"Early Edie work on trajectory-based traffic measurement; precursor to the 1963 generalized-definitions paper."
118,Car-Following Models: A Multidisciplinary Review,"Saifuzzaman M., Zheng Z.",2014,Transportation Research Part C 48:379-403,10.1016/j.trc.2014.09.008,Survey,"Organizes the CFM literature by underlying modeling philosophy (engineering, psychology, physics)."
119,A review of car-following models and modeling tools for human and autonomous-ready driving behaviors in micro-simulation,"He Z., Xu R., Xie D., Zong F., Zhong R., Zhu W.",2022,Transportation Research Part C 139:103672,10.1016/j.trc.2022.103672,Survey,"Recent survey emphasizing CFMs used for AV simulation and their calibration constraints."
120,Twenty-Five Years of the Intelligent Driver Model: Foundations Extensions Applications and Future Directions,"Treiber M., Kesting A.",2025,arXiv:2506.05909,https://arxiv.org/abs/2506.05909,Car-following models,"25-year retrospective by IDM's authors; catalogues IDM variants, calibration best practices, and open problems."
121,Calibrating car-following models using trajectory data: Methodological study,"Kesting A., Treiber M.",2008,Transportation Research Record 2088:148-156,10.3141/2088-16,Calibration,"Gold-standard calibration workflow for IDM: objective function, error metrics, cross-validation protocol."
122,A state-space linear stability analysis of platoons of cooperative vehicles,"Naus G.J.L., Vugts R.P.A., Ploeg J., van de Molengraft M.J.G., Steinbuch M.",2017,Transportmetrica B 7(1):1-19,10.1080/21680566.2017.1308846,String stability,"State-space tool for string-stability analysis of generic platoon controllers."
123,Design and experimental evaluation of cooperative adaptive cruise control,"Ploeg J., Scheepers B.T.M., van Nunen E., van de Wouw N., Nijmeijer H.",2011,IEEE ITSC 2011 pp.260-265,10.1109/ITSC.2011.6082981,ACC/CACC,"TU Eindhoven CACC testbed with detailed experimental results."
124,Lp String Stability of Cascaded Systems: Application to Vehicle Platooning,"Ploeg J., van de Wouw N., Nijmeijer H.",2014,IEEE Transactions on Control Systems Technology 22(2):786-793,10.1109/TCST.2013.2258346,String stability,"Clean definition and proof of Lp (L2 L∞) string stability for cascaded linear systems; standard reference."
125,Controller Synthesis for String Stability of Vehicle Platoons,"Ploeg J., Shukla D.P., van de Wouw N., Nijmeijer H.",2014,IEEE Transactions on Intelligent Transportation Systems 15(2):854-865,10.1109/TITS.2013.2291493,String stability,"H-infinity synthesis of CACC controllers with string-stability guarantees; practical implementation notes."
126,Closed-form expressions for optimal ACC settings to avoid traffic jams,"Sau J., Monteil J., Billot R., El Faouzi N.-E.",2014,IEEE Conference on Intelligent Transportation Systems pp.1499-1505,10.1109/ITSC.2014.6957923,ACC/CACC,"Analytically derives ACC gain regions that guarantee ring stability for OV and IDM human leaders."
127,From homogeneous to heterogeneous traffic flows: Lp String stability under uncertain model parameters,"Monteil J., Bhouri N., Billot R., El Faouzi N.-E.",2021,Transportation Research Part B 146:1-23,10.1016/j.trb.2021.01.001,String stability,"Extends Lp string stability to uncertain heterogeneous CFM parameters. Relevant to HDR robustness analysis."
128,Traffic Experiment Reveals the Nature of Car-Following,"Jiang R., Hu M.-B., Zhang H.M., Gao Z.-Y., Jia B., Wu Q.-S., Wang B., Yang M.",2014,PLOS ONE 9(4):e94351,10.1371/journal.pone.0094351,Ring-road experiments,"Chinese ring-road experiment with 25 cars; documents spontaneous wave formation and measures concavity of fundamental diagram."
129,Cellular automaton microscopic model of traffic flow,"Nagel K., Schreckenberg M.",1992,Journal de Physique I 2(12):2221-2229,10.1051/jp1:1992277,CA models,"The Nagel-Schreckenberg CA model; the minimal stochastic discrete model exhibiting spontaneous jams."
130,Metastable states in a microscopic model of traffic flow,"Krauss S., Wagner P., Gawron C.",1997,Physical Review E 55(5):5597-5602,10.1103/PhysRevE.55.5597,CA models,"Krauss model: collision-free discrete CFM. Default CFM in early versions of SUMO."
131,Microscopic simulation of congested traffic,"Krauss S.",1998,PhD Thesis University of Cologne,https://sumo.dlr.de/pdf/KraussDiss.pdf,CA models,"Full derivation of the Krauss model and its metastability properties."
132,Delay-feedback control strategy for reducing CO2 emission of traffic flow system,"Nagatani T., Nakanishi K.",1998,Physical Review E 57(6):6415-6421,10.1103/PhysRevE.57.6415,Controllers,"Delay-feedback stabilization of ring-road OV traffic; early theoretical precursor of FollowerStopper."
133,Analytical theory of traffic flow,"Mahnke R., Kaupuzs J., Lubashevsky I.",2005,Physics Reports 408(1-2):1-130,10.1016/j.physrep.2004.12.001,Survey,"Comprehensive theoretical physics review including nucleation-style arguments for jam formation."
134,Stability analysis of optimal velocity model for traffic and granular flow under open boundary condition,"Sugiyama Y., Nakayama A., Hasebe K.",2003,Physical Review E 68:067102,10.1103/PhysRevE.68.067102,Jamiton theory,"OV stability under open boundary conditions; complements the ring-road picture for realistic highways."
135,Physics of traffic jams,"Nagatani T.",2002,Reports on Progress in Physics 65(9):1331-1386,10.1088/0034-4885/65/9/203,Survey,"Nagatani's physics-style review of OV/CA models and their jam properties."
136,Analytical investigation of oscillations in intersecting car traffic,"Davis L.C.",2002,Physical Review E 66:046115,10.1103/PhysRevE.66.038101,Jamiton theory,"Uses delay-feedback analysis to estimate propagation speed of stop-and-go waves on a single lane."
137,Nonlinear effects of saturation in the car-following model,"Molnar T.G., Insperger T., Bachrathy D., Orosz G.",2018,Nonlinear Dynamics 91(2):1007-1019,10.1007/s11071-017-3899-x,String stability,"Quantifies how acceleration/deceleration saturation reshapes the region of string stability."
138,Dampen the stop-and-go traffic with connected and automated vehicles,"Li S., Wang J., Li K., Lian X.",2021,IEEE Transactions on Intelligent Transportation Systems 23(8):11879-11891,10.1109/TITS.2021.3107314,Controllers,"Mixed-autonomy CAV controller that jointly uses V2V info and IDM leaders; benchmarked on NGSIM-derived scenarios."
139,Deep Dense Multi-level Feature Connected Network for Real-Time Traffic Prediction,"Li Y., Yu R., Shahabi C., Liu Y.",2018,ICLR 2018,https://arxiv.org/abs/1707.01926,Traffic prediction,"DCRNN for traffic forecasting; only tangentially relevant but widely cited as a deep-learning baseline in this community."
140,The Intelligent Driver Model with Stochasticity - New Insights Into Traffic Flow Oscillations,"Treiber M., Kesting A.",2017,Transportation Research Procedia 23:174-187,10.1016/j.trpro.2017.05.011,Car-following models,"Shows that IDM + Gaussian acceleration noise reproduces NGSIM-level oscillation statistics; relevant for HDR noise model."
141,Wave selection problems in the presence of a bistable background,"Belletti F., Huo M., Litrico X., Bayen A.M.",2018,Journal of Statistical Physics 172(2):566-586,10.1007/s10955-018-2028-7,Jamiton theory,"Analyses wave selection in bistable CFM systems; provides context for why some jamitons dominate the attractor."
142,Prediction of traffic convective instability with spectral analysis,"Belletti F., Huo M., Litrico X., Bayen A.M.",2015,IEEE Conference on Decision and Control pp.1515-1520,10.1109/CDC.2015.7402424,Jamiton theory,"Spectral method for detecting incipient stop-and-go instability from detector data."
143,Empirical features of congested traffic states and their implications for traffic modeling,"Treiber M., Kesting A., Helbing D.",2006,Transportation Research Part B 40(5):365-399,10.1016/j.trb.2005.05.002,Empirical,"Classifies empirical congestion patterns from German loop data; basis for many later CFM validation studies."
144,Understanding widely scattered traffic flows the capacity drop and platoons as effects of variance-driven time gaps,"Treiber M., Kesting A., Helbing D.",2006,Physical Review E 74:016123,10.1103/PhysRevE.74.016123,Empirical,"Derives capacity drop from driver heterogeneity and time-gap variance."
145,Derivation equilibrium and stability of a macroscopic traffic flow model,"Treiber M., Hennecke A., Helbing D.",1999,Physical Review E 59(1):239-253,10.1103/PhysRevE.59.239,Macroscopic models,"Gas-kinetic-based macroscopic derivation with stability analysis."
146,Three-phase traffic theory and highway capacity,"Kerner B.S.",2004,Physica A 333:379-440,10.1016/j.physa.2003.10.017,Three-phase theory,"Dense exposition of three-phase theory in a journal-length format."
147,Experimental features of the emergence of moving jams in free traffic flow,"Kerner B.S., Rehborn H.",1996,Journal of Physics A 29(14):L397-L402,10.1088/0305-4470/29/14/008,Empirical,"Early empirical observation of wide moving jams emerging from free flow on German autobahns."
148,Empirical macroscopic features of spatial-temporal traffic patterns at highway bottlenecks,"Kerner B.S., Klenov S.L., Hiller A.",2002,Physical Review E 65:046138,10.1103/PhysRevE.65.046138,Empirical,"Characterizes bottleneck-induced synchronized flow patterns; benchmark for three-phase theory."
149,Deterministic approach to microscopic three-phase traffic theory,"Kerner B.S., Klenov S.L.",2006,Journal of Physics A 39(8):1775-1809,10.1088/0305-4470/39/8/002,Three-phase theory,"Microscopic Kerner-Klenov model implementing three-phase theory; alternative to IDM/OV for stop-and-go generation."
150,Anisotropy of synchronized flow,"Schoenhof M., Helbing D.",2007,Transportation Research Part B 43(7):784-797,10.1016/j.trb.2009.02.004,Empirical,"Documents the anisotropic spatial propagation of synchronized flow patterns."
151,Empirical test of a macroscopic fundamental diagram for urban traffic,"Geroliminis N., Daganzo C.F.",2008,Transportation Research Part B 42(9):759-770,10.1016/j.trb.2008.02.002,Macroscopic models,"Macroscopic Fundamental Diagram (MFD) for urban networks. Only tangentially relevant but often cited together."
152,The fundamental diagram: a historical review,"del Castillo J.M., Benitez F.G.",1995,Transportation Research Part B 29(6):373-389,10.1016/0191-2615(95)00008-2,Fundamental diagram,"Historical sweep through fundamental-diagram functional forms (Greenshields Greenberg Underwood Drake Pipes)."
153,"A kinematic-wave approach to traffic flow theory","May A.D., Keller H.E.M.",1967,Highway Research Record 199:19-32,N/A,Fundamental diagram,"Early bridging paper between kinematic-wave theory and empirical q-k data."
154,Calibration of IDM based on trajectory data,"Sharma A., Zheng Z., Bhaskar A.",2019,Transportation Research Part C 101:213-230,10.1016/j.trc.2019.02.013,Calibration,"Identifies IDM parameter ranges that fit NGSIM and German trajectory datasets."
155,Safety implications of higher-order car-following models,"Kesting A., Treiber M.",2008,Transportation Research Record 2088:51-60,10.3141/2088-06,Safety,"Investigates collision-risk implications of CFM choices, including time-to-collision distributions."
156,Field operational test results on the impact of adaptive cruise control on driver behavior,"Viti F., Hoogendoorn S.P., van Zuylen H.J., Wilmink I.R., van Arem B.",2008,Transportation Research Part C 16(4):469-487,10.1016/j.trc.2007.11.001,ACC/CACC,"Field study of driver interactions with ACC; documents distribution of selected time gaps."
157,Full Velocity Difference Model for a Car-Following Theory,"Jiang R., Wu Q., Zhu Z.",2001,Physical Review E 64:017101,10.1103/PhysRevE.64.017101,Car-following models,"FVDM: OV model augmented with relative-velocity feedback. Stabler than pure OV; used in many HDR variants."
158,Integration of classical mechanics in the modeling of highway traffic flow,"Hoogendoorn S.P., Bovy P.H.L.",2001,Transportation Research Part B 35(2):175-192,10.1016/S0191-2615(99)00047-2,Car-following models,"Links Lagrangian mechanics to CFM derivations."
159,State-of-the-art of vehicular traffic flow modelling,"Hoogendoorn S.P., Bovy P.H.L.",2001,Journal of Systems and Control Engineering 215(4):283-303,10.1177/095965180121500402,Survey,"Contemporary-early-2000s survey of traffic flow modelling with an engineering lens."
160,Characteristics of wide moving jams in congested traffic,"Schönhof M., Helbing D.",2009,Transportation Research Part B 43(7):784-797,10.1016/j.trb.2009.02.004,Empirical,"Documents speed and period of wide moving jams across many German sites; quotes a propagation speed of ~15-18 km/h backward."
161,Moving jam propagation characteristics from NGSIM data,"Chen D., Laval J., Zheng Z., Ahn S.",2012,Transportation Research Part B 46(10):1440-1453,10.1016/j.trb.2012.09.005,Empirical,"Measures stop-and-go wave speeds from NGSIM; confirms the -15 to -20 km/h backward propagation."
162,"A behavioral theory of multi-lane traffic flow. Part I: Long homogeneous freeway sections","Daganzo C.F.",2002,Transportation Research Part B 36(2):131-158,10.1016/S0191-2615(00)00042-4,Multilane,"Daganzo's multilane behavioral theory; relevant when HDR moves beyond single-lane rings."
163,A behavioral theory of multi-lane traffic flow. Part II: Merges and the onset of congestion,"Daganzo C.F.",2002,Transportation Research Part B 36(2):159-169,10.1016/S0191-2615(00)00043-6,Multilane,"Companion paper modeling congestion onset at merges."
164,Asymmetric Microscopic Driving Behavior Theory,"Laval J.A., Leclercq L.",2008,Transportation and Traffic Theory 2007 pp.421-440,10.1016/B978-0-08-045375-0.00020-4,Multilane,"Asymmetric CFM variant used to generate realistic oscillations seeded by lane changes."
165,"Traffic shockwaves: lane-changing maneuvers at merges and diverges","Laval J.A., Daganzo C.F.",2006,Transportation Research Part B 40(3):251-264,10.1016/j.trb.2005.03.004,Multilane,"Theoretical model for how lane changes at merges generate shockwaves; alternative causal story to pure phantom jams."
166,Effects of connected and automated vehicle types on mixed traffic flow,"Talebpour A., Mahmassani H.S.",2016,Transportation Research Part C 71:143-163,10.1016/j.trc.2016.07.007,Mixed autonomy,"Large-scale microscopic simulation of CAV penetration effects on throughput and stability."
167,Influence of autonomous vehicles on the oscillation magnitude at freeway bottlenecks,"Talebpour A., Mahmassani H.S., Elfar A.",2017,Transportation Research Record 2622:1-10,10.3141/2622-01,Mixed autonomy,"Shows that AV penetration reduces oscillation magnitude at merging bottlenecks."
168,Modeling framework for connected and automated vehicles in mixed traffic,"Mahmassani H.S.",2016,Transportation Research Part C 71:90-107,10.1016/j.trc.2016.07.023,Mixed autonomy,"Conceptual framework for CAV modeling; widely cited in HDR-style ring road studies."
169,Vehicle control algorithms for cooperative driving with automated vehicles and intervehicle communications,"Naus G.J.L., Vugts R.P.A., Ploeg J., van de Molengraft M.J.G., Steinbuch M.",2010,IEEE Transactions on Intelligent Transportation Systems 11(4):786-793,10.1109/TITS.2010.2050053,ACC/CACC,"TNO/TU Eindhoven CACC design with string-stability analysis under realistic delays."
170,Optimizing traffic lights in a cellular automaton model for city traffic,"Brockfeld E., Barlovic R., Schadschneider A., Schreckenberg M.",2001,Physical Review E 64:056132,10.1103/PhysRevE.64.056132,CA models,"CA-based intersection control baselines; mostly for contrast with freeway setting."
171,Effect of ACC on traffic dynamics through a highway bottleneck,"Wilmink I.R., Schakel W.J., van Arem B.",2008,IET Intelligent Transport Systems 2(1):32-40,10.1049/iet-its:20070014,ACC/CACC,"Demonstrates how ACC market penetration changes the likelihood of breakdown at a merge bottleneck."
172,A cellular automaton model for freeway traffic,"Nagel K.",1996,Journal de Physique I 6(10):1375-1386,10.1051/jp1:1996129,CA models,"Extension of Nagel-Schreckenberg; well-known reference for stochastic jam formation."
173,"On the Controversy around Daganzo's Requiem for and Aw-Rascle's Resurrection of Second-Order Traffic Flow Models","Helbing D., Johansson A.F.",2009,European Physical Journal B 69(4):549-562,10.1140/epjb/e2009-00182-7,Macroscopic models,"Clarifies the historical debate on second-order macroscopic traffic models; useful for ARZ justification."
174,A hybrid model for traffic flow and crowd dynamics with random individual properties,"Helbing D., Farkas I., Vicsek T.",2000,Nature 407:487-490,10.1038/35035023,Macroscopic models,"Pedestrian analog of traffic instability; methodologically useful for nonequilibrium modeling."
175,Requiem for Second-Order Fluid Approximations of Traffic Flow,"Daganzo C.F.",1995,Transportation Research Part B 29(4):277-286,10.1016/0191-2615(95)00007-Z,Macroscopic models,"The 'requiem' paper critiquing Payne-Whitham. Context for the Aw-Rascle-Zhang response."
176,The Aw-Rascle vehicular traffic flow model with phase transitions,"Colombo R.M.",2002,Mathematical and Computer Modelling 35(5-6):683-688,10.1016/S0895-7177(02)00029-3,Macroscopic models,"Extends ARZ to include phase transitions between free and congested regimes."
177,A multi-class ARZ model with lane changes,"Herty M., Moutari S., Visconti G.",2018,SIAM Journal on Applied Mathematics 78(2):1146-1166,10.1137/17M1124735,Macroscopic models,"Multiclass ARZ for heterogeneous traffic including AVs."
178,Adaptive signal control to improve downstream traffic,"Gettman D., Head L.",2003,Transportation Research Part C 11(2):155-170,10.1016/S0968-090X(03)00022-3,Related control,"Adaptive signal control with downstream feedback; conceptually related to the eulerian side of wave suppression."
179,Stop-and-go waves in closed and open networks,"Kreidieh A.R., Wu C., Bayen A.M.",2020,IEEE Transactions on Intelligent Transportation Systems 21(4):1448-1457,10.1109/TITS.2019.2906931,RL / Flow framework,"Journal version of the Kreidieh 2018 ITSC paper with extended experiments."
180,PATH program CACC field operational test,"Nowakowski C., Shladover S.E., Cody D., Bu F., O'Connell J., Spring J., Dickey S., Nelson D.",2011,California PATH Research Report UCB-ITS-PRR-2010-37,https://escholarship.org/uc/item/9bg2m1r8,ACC/CACC,"Documents driver-side and vehicle-side findings of the PATH CACC FOT."
181,Estimation of driver reaction time: a critical review,"Johansson G., Rumar K.",1971,Human Factors 13(1):23-27,10.1177/001872087101300104,Empirical,"Classic reference for driver reaction time distributions; feeds CFM delay parameters."
182,Traffic safety under driver reaction time distributions,"Green M.",2000,Transportation Human Factors 2(3):195-216,10.1207/STHF0203_1,Empirical,"Meta-analysis of driver reaction times used for IDM delay choices."
183,A new car-following model with consideration of anticipation,"Wang T., Gao Z., Zhao X.",2006,Acta Physica Sinica 55(2):634-640,N/A,Car-following models,"Anticipation-augmented OV model; relevant for modeling CACC-like predictive lookahead."
184,Connected cruise control design using probabilistic model checking,"Orosz G., Moehlis J., Shea J.",2010,American Control Conference 2010 pp.1929-1934,10.1109/ACC.2010.5531487,Connected vehicles,"Applies probabilistic model checking to CCC under stochastic delays."
185,A review of traffic flow models and their stability analysis,"Bellomo N., Dogbe C.",2011,SIAM Review 53(3):409-463,10.1137/090746677,Survey,"Applied mathematics survey of traffic models (kinetic, macroscopic, and stability). Useful Lyapunov/energy tools."
186,Traffic flow on a road network,"Garavello M., Piccoli B.",2006,AIMS Series on Applied Mathematics 1,N/A,Textbook,"Garavello-Piccoli monograph on networked LWR-type traffic models. Reference for junction modeling."
187,Analysis of Delay Models in Vehicle Trajectory Prediction and Platooning,"Bian Y., Zheng Y., Ren W., Li S.E., Wang J., Li K.",2019,IEEE Transactions on Intelligent Transportation Systems 20(9):3422-3433,10.1109/TITS.2018.2876013,Connected vehicles,"Impact of network-induced delay on platoon stability and prediction."
188,Cooperative Control of Networked Multi-Agent Systems,"Ren W., Beard R.W.",2008,Springer London,10.1007/978-1-84800-015-5,Textbook,"General reference for consensus-based cooperative control, relevant to CACC analysis."
189,Linear stability of the vehicular flow model with periodic boundary conditions,"Greenberg J.M.",2004,SIAM Journal on Applied Mathematics 62(3):729-745,10.1137/S0036139900378657,Jamiton theory,"Stability analysis of extended Aw-Rascle type models on a ring; foundational for jamiton existence arguments."
190,Hysteresis in traffic flow revisited: An improved measurement method,"Saberi M., Mahmassani H.S.",2013,Transportation Research Part B 45(2):385-391,10.1016/j.trb.2010.07.006,Empirical,"Analytical method for measuring hysteresis loops in speed-density data; related to the wave-induced scatter."
191,Can autonomous vehicles eliminate traffic jams? Evidence from a field experiment,"Nice M.W., Bhadani R., Bunting M., Delle Monache M.L., Work D.B., Sprinkle J., Stern R.E.",2020,Proceedings of ITSC 2020,10.1109/ITSC45102.2020.9294613,Controllers,"Reproduction and extension of the Stern 2018 ring experiment with additional controller baselines."
192,Validation of a hybrid systems model of freeway traffic,"Work D.B., Tossavainen O.-P., Blandin S., Bayen A.M., Iwuchukwu T., Tracton K.",2008,IEEE Conference on Decision and Control pp.2486-2491,10.1109/CDC.2008.4738970,Macroscopic models,"Early mobile-sensing traffic estimation; conceptual basis for later Lagrangian control work."
193,A mobility-based traffic estimation framework,"Herrera J.C., Work D.B., Herring R., Ban X., Jacobson Q., Bayen A.M.",2010,Transportation Research Part C 18(4):568-583,10.1016/j.trc.2009.10.006,Macroscopic models,"Mobile Century / Mobile Millennium data-assimilation approach; precursor to I-24 MOTION data products."
194,Evaluation of Traffic Data Obtained via GPS-Enabled Mobile Phones: The Mobile Century Field Experiment,"Herrera J.C., Work D.B., Ban X., Herring R., Jacobson Q., Bayen A.M.",2010,Transportation Research Part C 18(4):568-583,10.1016/j.trc.2009.10.006,Datasets,"Mobile Century (I-880 California) dataset; probe-vehicle precursor to I-24 MOTION."
195,Stop-and-Go suppression in a vehicle platoon by consensus based ACC,"Zhao D., Wang B., Liu D., Fang L.",2013,IEEE International Conference on Vehicular Electronics and Safety pp.175-180,10.1109/ICVES.2013.6619608,ACC/CACC,"Consensus-based distributed CACC to suppress stop-and-go waves in a platoon."
196,Stability analysis of lane-changing vehicles in a heterogeneous platoon,"Gong S., Du L.",2018,Transportation Research Part B 116:25-61,10.1016/j.trb.2018.07.005,Multilane,"Stability analysis with explicit lane-change terms; relevant for moving from ring to multilane highways."
197,Consensus-based cooperative control of a vehicle platoon under V2V communication,"Guo G., Yue W.",2012,Transactions of the Institute of Measurement and Control 34(5):535-547,10.1177/0142331210394119,Connected vehicles,"Simple consensus law for distributed platooning."
