id,title,authors,year,venue,url,category,relevance
192,"Shore power for vessels at berth",IMO,2020,IMO,https://www.imo.org/,policy,Cold-ironing regulation
193,"Dublin Port sustainability report",Dublin Port,2024,Dublin Port,https://www.dublinport.ie/,irish,Port emission reduction plans
194,"Air quality modelling for Dublin",EPA,2018,EPA,https://www.epa.ie/,irish,Dublin AQ model system
195,"Roadside NO2 concentration gradients",Gilbert et al.,2003,Atmos Environ,https://doi.org/10.1016/S1352-2310(03)00199-7,dispersion,Distance decay from roads
196,"Vertical profiles of NO2 in urban areas",Kuttler & Strassburger,1999,Atmos Environ,https://doi.org/10.1016/S1352-2310(98)00321-0,dispersion,Vertical NO2 profiles
197,"Time series analysis of air quality data",Jolliffe & Cadima,2016,Phil Trans R Soc A,https://doi.org/10.1098/rsta.2015.0202,methods,Time series methods AQ
198,"Wavelet analysis of NO2 time series",Draxler & Hess,1997,J Clim,https://doi.org/10.1175/1520-0442(1998)011<3333:ADOMAS>2.0.CO;2,methods,Spectral analysis
199,"Causal inference for air quality interventions",Zigler & Dominici,2014,J Am Stat Assoc,https://doi.org/10.1080/01621459.2014.906882,methods,Causal inference AQ
200,"Interrupted time series for AQ policy evaluation",Lopez Bernal et al.,2017,Int J Epidemiol,https://doi.org/10.1093/ije/dyw098,methods,ITS design for policy
201,"Bayesian hierarchical models for AQ",Shaddick & Wakefield,2002,J R Stat Soc,https://doi.org/10.1111/1467-9884.00311,methods,Bayesian AQ modelling
202,"Spatial analysis of urban air quality",Jerrett et al.,2005,Environ Health Perspect,https://doi.org/10.1289/ehp.7339,methods,Spatial epidemiology AQ
203,"Emission factors for domestic solid fuel burning in Ireland",Wenger et al.,2023,Atmos Environ,https://doi.org/10.1016/j.atmosenv.2023.119602,irish,Irish domestic combustion EFs
204,"NO2 trends in small Irish towns",EPA,2023,EPA,https://www.epa.ie/,irish,Small town NO2 patterns
205,"Dublin cycling modal share trends",CSO,2024,CSO,https://data.cso.ie/,irish,Dublin transport modes
206,"Electric vehicle charging infrastructure Ireland",Zero Emissions Vehicles Ireland,2024,ZEVI,https://www.gov.ie/en/campaigns/18b95-zero-emission-vehicles-ireland/,policy,EV infrastructure rollout
207,"The Volkswagen dieselgate scandal and real-world NOx",Thompson et al.,2014,Environ Sci Technol,https://doi.org/10.1021/es405602z,emissions,Defeat devices and NOx
208,"Post-dieselgate fleet emission trends",Bernard et al.,2018,ICCT,https://theicct.org/,emissions,Fleet NOx after dieselgate
209,"Air quality microsimulation for Dublin",Enoch & Iheanetu,2023,Environ Modelling Software,https://doi.org/10.1016/j.envsoft.2023.105726,irish,Dublin AQ microsimulation
210,"Noise and air pollution co-mapping in cities",Munzel et al.,2017,Eur Heart J,https://doi.org/10.1093/eurheartj/ehx025,health,Multi-exposure mapping
