author_year,title,venue,year,doi_or_url,tags
worldbank_2012_housing,Doing Business: Dealing with Construction Permits,World Bank,2012,,construction-permits;global
ahuriv_2019,National Housing Research Agenda,AHURI,2019,,australia;housing
rosengarten_2011_housing_delay,Regulatory delay and residential construction,Housing Studies,2011,,delay;regulation
somerville_2013_housing_delay,Construction delays and costs,Real Estate Econ,2013,,delay;costs
ball_2014_delivery,Housing delivery in England,RICS Research,2014,,delivery;uk
adams_leishman_2008,Irish housing market bubble investigation,IJSSP,2008,,ireland;bubble
barker_2006_delivery,Housing delivery and planning,HM Treasury,2006,,delivery;uk
harrison_weinberg_2015,Construction duration distribution,Construction Management and Econ,2015,,construction-duration
kenley_2003,Financing Construction: Cash Flows and Cash Farming,Spon Press,2003,,construction;finance;textbook
love_2019,A systematic review of construction project time overruns,Engineering Construction and Architectural Management,2019,10.1108/ECAM-05-2018-0199,construction-delay;review
bromilow_1969,Contract time performance,Commonwealth Engineer,1969,,construction-duration;seminal
chan_1999_bromilow,Modelling building durations in Hong Kong,Construction Management and Econ,1999,,construction-duration;bromilow
ng_2001,A model for predicting construction duration,Construction Management and Econ,2001,,construction-duration
hoffman_2007_construction_schedule,Schedule risk in construction,PMI,2007,,construction-schedule;risk
assaf_al_hejji_2006,Causes of delay in large construction projects,International Journal of Project Management,2006,10.1016/j.ijproman.2005.11.010,construction-delay
gunduz_yahya_2018_delay,Analysis of delay factors,KSCE,2018,,construction-delay
jha_iyer_2006,Critical factors affecting quality performance,Construction Management and Econ,2006,,construction-performance
koushki_al_rashid_kartam_2005,Delays and cost increases in the construction of private residential projects,Construction Management and Econ,2005,,construction-delay;kuwait
odeh_battaineh_2002,Causes of construction delay,International Journal Project Management,2002,,construction-delay
sambasivan_soon_2007,Causes and effects of delays in Malaysian construction industry,International Journal Project Management,2007,10.1016/j.ijproman.2006.11.007,construction-delay
aibinu_odeyinka_2006,Construction delays and their causative factors in Nigeria,Journal of Construction Engineering Management,2006,,construction-delay
kazaz_ulubeyli_tuncbilekli_2012,Causes of delays in construction projects in Turkey,Journal of Civil Engineering Management,2012,,construction-delay
doloi_sawhney_iyer_rentala_2012,Analysing factors affecting delays in Indian construction,International Journal Project Management,2012,10.1016/j.ijproman.2011.11.005,construction-delay
mahamid_bruland_dmaidi_2012,Causes of delay in road construction projects,Journal of Management in Engineering,2012,,construction-delay
akintoye_skitmore_1991,Profitability of construction firms,Construction Management and Econ,1991,,construction;firms
akintoye_fitzgerald_2000,A survey of current cost estimating practices,Construction Management and Econ,2000,,construction;cost
love_tse_edwards_2005,Time-cost relationships in Australian building construction projects,Journal of Construction Engineering Management,2005,,construction-duration
walker_vines_2000_project_delay,Identification of factors influencing construction time performance,Engineering Construction Arch Mgmt,2000,,construction-delay
ibbs_abu_hijleh_kwak_1999_construction_risk,Construction delay and disruption on projects,Cost Engineering,1999,,construction-delay
aibinu_jagboro_2002,The effects of construction delays on project delivery,International Journal Project Management,2002,,construction-delay
chan_kumaraswamy_1997,A comparative study of causes of time overruns in Hong Kong construction projects,International Journal Project Management,1997,10.1016/S0263-7863(96)00039-7,construction-delay
frimpong_oluwoye_crawford_2003,Causes of delay and cost overruns in Ghana,International Journal Project Management,2003,,construction-delay
shebob_dawood_xu_2011,Analysing construction delay factors UK and Libya,Construction Management and Econ,2011,,construction-delay
ahmed_azhar_castillo_kappagantula_2003,Construction delays in Florida,Journal of Construction Engineering Management,2003,,construction-delay
stumpf_2000_riskscheduling,Schedule delay analysis,Cost Engineering,2000,,construction-delay
arditi_akan_gurdamar_1985,Reasons for delays in public projects in Turkey,Construction Management and Econ,1985,,construction-delay
kumaraswamy_1997_construction_delay,Common categories and causes of construction delays,Cost Engineering,1997,,construction-delay
tumi_omran_pakir_2009,Causes of delay in construction industry in Libya,IICBE,2009,,construction-delay
alaghbari_kadir_salim_ernawati_2007,The significant factors causing delay of building construction in Malaysia,Engineering Construction Arch Mgmt,2007,,construction-delay
semple_hartman_jergeas_1994_construction_claims,Construction claims and disputes: causes and cost,Journal of Construction Engineering Management,1994,,construction-claims
ameh_soyingbe_odusami_2010,Significant factors causing cost overruns in telecommunication projects in Nigeria,Journal of Construction in Developing Countries,2010,,construction-cost
creedy_skitmore_wong_2010,Evaluation of risk factors leading to cost overrun,Journal of Construction Engineering Management,2010,,construction-cost
doloi_2013_causal_factors,Cost overruns and failure in project management,Journal of Construction Engineering Management,2013,,construction-cost
abdmajid_mccaffer_1998,Factors of non-excusable delays,Journal of Management Engineering,1998,,construction-delay
kaming_holt_1997_factors,Factors influencing construction time and cost overruns on high-rise projects in Indonesia,Construction Management and Econ,1997,,construction-delay
hamzah_2011,Cause of construction delay,International Journal Project Management,2011,,construction-delay
flyvbjerg_2003_megaprojects,Megaprojects and Risk,Cambridge,2003,10.1017/CBO9781107050891,megaprojects;risk
flyvbjerg_2014,What you should know about megaprojects,Project Management Journal,2014,10.1002/pmj.21409,megaprojects
ballard_2000_lastplanner,The Last Planner System,PhD thesis,2000,,lean-construction
koskela_2000_production_theory,An exploration towards a production theory,VTT,2000,,lean-construction
thomas_1999_productivity,Construction baseline productivity,Journal of Construction Engineering Management,1999,,productivity
hass_2001_construction_productivity,Construction productivity trends,RAND,2001,,productivity
eurostat_construction_2023,Construction statistics EU,Eurostat,2023,,eu;construction
eurostat_building_permits,Building permits: main statistical indicators,Eurostat,2022,,eu;permits
oecd_2023_construction,Housing supply responsiveness across OECD countries,OECD,2023,,oecd;supply
ahuri_2021,Australian housing supply challenges,AHURI Final Report,2021,,australia;supply
gyourko_mccord_2019,Long-term residential construction cycles,Journal of Urban Econ,2019,,cycle;us
wilkinson_reed_2007,Planning the delivery of housing,Property Management,2007,,delivery;planning
prevost_smets_2018_amsterdam_planning,Housing policy and planning outcomes Amsterdam,Housing Studies,2018,,planning;netherlands
greenhalgh_shaw_2015,UK housing delivery,Town Planning Review,2015,,uk;delivery
doherty_2019_ireland_planning_delays,Planning system delays in Ireland,UCD MA thesis,2019,,ireland;planning-delay
kenny_1974,Report of the Committee on the Price of Building Land,Kenny Report,1974,,ireland;land;seminal
kenny_report_ucd_2019,Revisiting Kenny 45 years on,UCD,2019,,ireland;land;historical
lyons_2013,Ireland's housing market an economists perspective,Lyons WP,2013,,ireland;housing
benefit_2024,Construction cost trends,SCSI,2024,,ireland;costs
nama_2015,NAMA Annual Report,NAMA,2015,,ireland;nama;distressed
lutyens_2024_construction_costs,Construction cost increases in Ireland,SCSI,2024,,ireland;cost
duff_2020_apartment_viability,Apartment viability in Irish cities,SCSI,2020,,ireland;apartment;viability
sirr_2023_housing_supply,Drivers of housing supply in Ireland,DIT,2023,,ireland;supply
odonnell_2021_sdz,Strategic Development Zones in Ireland,DKM,2021,,ireland;sdz
brogan_2022_mortgage_market,Mortgage market in Ireland,CBI,2022,,ireland;mortgage
waldron_2022_institutional_landlords,Institutional landlords and the dualist tenure system,Housing Studies,2022,,ireland;institutional;renters
kitchin_oreilly_2017_dataengaged_city,The ethics of smart cities and urban science,Phil Trans Royal Soc A,2017,,ireland;smart-cities
scott_redmond_2017_second_home,The rise of the second-home,Irish Geography,2017,,ireland;secondhome
hourigan_2014_reimagining_ireland,Understanding Limerick: social exclusion and change,Cork Univ Press,2014,,ireland;limerick;exclusion
mcinerney_2021_rural_housing,Rural housing in Ireland,RIAI,2021,,ireland;rural;housing
cooney_2019_co_ownership,Co-operative housing and affordability in Ireland,DCU,2019,,ireland;cooperative
coates_2020_labour_market,Irish construction labour market,TASC,2020,,ireland;labour;construction
mcguinness_2020_vacant,Vacant dwellings in Ireland,ESRI BP,2020,,ireland;vacancy
daly_2019_oneoff_housing,One-off housing in Ireland,Irish Geography,2019,,ireland;oneoff
healy_2022_zoning,Residential zoning in Ireland,OPR,2022,,ireland;zoning
fahey_2020_ireland_housing_policy,Housing policy in Ireland: new directions,Admin,2020,,ireland;policy
norris_fahey_murphy_2015_social_policy,Irish Social Policy,Gill Macmillan,2015,,ireland;social-policy
norris_fahey_2011_social_housing_asset,Social housing as asset management,Housing Studies,2011,,ireland;social-housing
kennedy_stuart_cbi_2019,Ireland housing construction drivers,CBI,2019,,ireland;construction
construction_report_dkm_2023,Construction sector output analysis,DKM Economic Consultants,2023,,ireland;construction
mcquinn_oconnell_2024_affordability,Affordability and housing supply,ESRI,2024,,ireland;affordability
kennedy_2023_policy_housing,Housing policy changes and supply,ESRI,2023,,ireland;policy
housing_agency_2023_needs,Summary of Social Housing Assessments 2023,Housing Agency,2023,,ireland;social-housing
pl_housing_pipeline_ie_2024,Planning-permission-to-completion latency in Ireland,HDR Internal Report,2024,,ireland;latency;predecessor
kain_1967,Postwar metropolitan development: housing and jobs,Regional Science Assoc Papers,1967,,housing-jobs
rossi_1980,Why Families Move,Sage,1980,,mobility
goodman_1989,The urban housing market over time,JUE,1989,,housing;time
wheaton_1990_vacancy,Vacancy search and prices in a housing market matching model,JPE,1990,,vacancy;search
carrillo_2012_search,An empirical stationary equilibrium search model of the housing market,IER,2012,,search;housing
diamond_mcquade_qian_2019_sf,The effects of rent control expansion,AER,2019,,rent-control
autor_palmer_pathak_2014,Housing market spillovers: evidence from the end of rent control,JPE,2014,,rent-control
early_2018_public_housing_wait,Waiting list length and affordable housing,Housing Policy Debate,2018,,wait-lists
olsen_ludwig_duncan_2000,The effects of public housing on household well-being,AER,2000,,public-housing
ellen_lacoe_sharygin_2013,Do foreclosures cause crime,JUE,2013,,foreclosure;crime
mian_sufi_2009_housing_crisis,The consequences of mortgage credit expansion,QJE,2009,,mortgage;credit
sufi_2018_macro_house,Macro finance and housing,Handbook,2018,,macro;housing
kimeldorf_wahba_1970_spline,A correspondence between Bayesian estimation,Annals of Math Stats,1970,,spline;bayes
wood_2017,Generalized Additive Models,CRC,2017,,gam;textbook
kaplan_meier_proof,Kaplan Meier Estimator Proof,MIT lecture notes,2015,,km;teaching
davidson_pilon_2020_lifelines_docs,lifelines documentation,readthedocs,2020,,lifelines;code
breiman_1996_bagging,Bagging predictors,Machine Learning,1996,,bagging
schapire_1990_weak,The strength of weak learnability,Machine Learning,1990,,boosting;seminal
friedman_hastie_tibshirani_2000_additive_logistic,Additive logistic regression,Annals of Stats,2000,,boosting;statistics
hastie_tibshirani_friedman_2009,The Elements of Statistical Learning,Springer,2009,,textbook;ml
james_witten_hastie_tibshirani_2021,Introduction to Statistical Learning,Springer,2021,,textbook;ml
murphy_2012,Machine Learning: A Probabilistic Perspective,MIT Press,2012,,textbook;ml
bishop_2006,Pattern Recognition and Machine Learning,Springer,2006,,textbook;ml
goodfellow_bengio_courville_2016,Deep Learning,MIT Press,2016,,textbook;ml
gelman_2013_bda,Bayesian Data Analysis 3e,CRC,2013,,textbook;bayesian
mcelreath_2020,Statistical Rethinking,CRC,2020,,textbook;bayesian
pearl_2009,Causality 2e,Cambridge,2009,,textbook;causal
angrist_pischke_2009,Mostly Harmless Econometrics,Princeton,2009,,textbook;econ
cameron_trivedi_2005,Microeconometrics: methods and applications,Cambridge,2005,,textbook;econ
greene_2018,Econometric Analysis,Pearson,2018,,textbook;econ
hamilton_1994,Time Series Analysis,Princeton,1994,,textbook;timeseries
lutkepohl_2006,New Introduction to Multiple Time Series Analysis,Springer,2006,,textbook;timeseries
cleveland_1979_lowess,Robust locally weighted regression,JASA,1979,,lowess
wilkinson_2012_grammar,The Grammar of Graphics,Springer,2012,,textbook;graphics
tufte_2001,The Visual Display of Quantitative Information,Graphics Press,2001,,visualization
schulenburg_2021_housing_costs,Housing construction costs in Ireland and EU comparison,IHF,2021,,ireland;costs
cash_2023_dublin_permissions,Dublin planning permissions timeline,Civic Tech Ireland,2023,,ireland;dublin;planning
oneill_2022_shd_timeline,SHD decision timelines,IE Planning,2022,,ireland;shd
byrne_2016_property_bust,From Celtic Tiger to Crisis and beyond,Irish Journal of Sociology,2016,,ireland;crisis;property
kelly_2010_irish_bubble,The Irish credit bubble,CEPR,2010,,ireland;credit;bubble
lane_2016_ireland_monetary_policy,The Irish experience,Money Macro and Finance,2016,,ireland;monetary-policy
barry_2007_ireland_historical,The EU Ireland relationship,IEAD,2007,,ireland;history
regling_watson_2010,A Preliminary Report on the Sources of Ireland's Banking Crisis,Govt of Ireland,2010,,ireland;banking;crisis
nyberg_2011_banking_report,Misjudging Risk: Causes of the Systemic Banking Crisis in Ireland,Commission of Inquiry,2011,,ireland;banking
mcgee_2020_affordability,Irish housing affordability,SCSI,2020,,ireland;affordability
daft_2023_report,Daft.ie 2023 housing market report,Daft.ie,2023,,ireland;housing;market
myhome_2023,Myhome.ie 2023 property barometer,MyHome,2023,,ireland;housing;market
esri_brexit_2024,Brexit impacts on the Irish economy,ESRI,2024,,ireland;brexit
draghi_2024_eu_competitiveness,The future of European competitiveness,EU Report,2024,,eu;competitiveness
geary_2018_socialhouse_lifecycle,Social housing delivery lifecycle,UCD,2018,,ireland;social-housing;lifecycle
lamda_2020_construction,Construction and the Irish recovery,LAMDA,2020,,ireland;construction;recovery
woulfe_2022_zoning_supply,Residential zoning and supply,Housing Agency,2022,,ireland;zoning;supply
arkins_2016_shd_review,Early lessons from the SHD process,UCD,2016,,ireland;shd;review
oniel_2023_land_prices,Land prices and housing affordability in Ireland,CBI,2023,,ireland;land-prices
feeney_2022_construction_supply_chain,Construction supply chain issues post pandemic,ESRI,2022,,ireland;supply-chain
coyne_2022_apartment_delivery,Apartment delivery bottlenecks Dublin,SCSI,2022,,ireland;apartments;bottlenecks
ahuri_2023_supply_chain,Housing supply chain constraints Australia,AHURI,2023,,australia;supply-chain
rics_2023_ireland_market,RICS Ireland construction survey,RICS,2023,,ireland;construction;survey
rics_uk_2023,RICS UK construction and infrastructure survey,RICS,2023,,uk;construction;survey
dkm_2024_cost_drivers,Drivers of residential cost in Ireland,DKM,2024,,ireland;costs;drivers
bpfi_2024_outlook,BPFI Housing Market Outlook,BPFI,2024,,ireland;mortgage;outlook
dhlgh_2024_annual,Housing for All Progress Report 2024,DHLGH,2024,,ireland;policy
mcquinn_oconnell_esri_2024,The Irish housing market in transition,ESRI,2024,,ireland;housing;transition
odonoghue_2021_landuse_simulation,LULC modelling for Ireland,Teagasc,2021,,ireland;land-use;simulation
esri_climate_housing_2023,Climate targets and housing delivery,ESRI,2023,,ireland;climate;housing
oco_2020_ireland_homelessness,Rising homelessness in Ireland,Ombudsman Children,2020,,ireland;homelessness
rebuilding_ireland_2016,Rebuilding Ireland: An Action Plan for Housing,Govt of Ireland,2016,,ireland;policy
nama_2016_review,NAMA housing delivery progress,NAMA,2016,,ireland;nama
lda_2022_report,Land Development Agency Annual Report,LDA,2022,,ireland;lda
lda_2023_report,Land Development Agency Annual Report,LDA,2023,,ireland;lda
crogan_2020_croppedup,Cropped up: the demand side of the Irish housing crisis,IJS,2020,,ireland;demand
donnelly_2023_oneoff_regulation,One-off housing policy in Ireland,IPI,2023,,ireland;oneoff;planning
heanue_mcguinness_2019,Employer-provided apprenticeship training in construction,ESRI BPR,2019,,ireland;construction;apprenticeship
scheinkman_woodford_1994,Self-organized criticality and economic fluctuations,AER,1994,,econ;criticality
azariadis_guesnerie_1986_sunspots,Sunspots and cycles,Review Economic Studies,1986,,macro;sunspots
esri_forecasts_2025,Quarterly Economic Commentary Spring 2025,ESRI,2025,,ireland;forecasts
nbco_webinar_2024_bcms,BCMS webinar 2024,NBCO,2024,,ireland;bcms
deloitte_2023_construction,Construction market outlook Ireland,Deloitte,2023,,ireland;construction;outlook
pwc_2023_construction,PwC Construction Scorecard,PwC Ireland,2023,,ireland;construction
keith_oconnor_2013_bcar,BC(A)R 2014 implementation concerns,CIF,2013,,ireland;bcar
bowlby_2020_survival_analysis_apps,Survival analysis applications in business and industry,Handbook Stats,2020,,survival;review
fischler_2003_pp_system,Planning the logistics of planning permissions,Town Planning Review,2003,,planning;logistics
daly_boland_2020,Ireland in the EU housing comparison,IDA,2020,,ireland;eu;comparison
schularick_taylor_2012_credit_booms,Credit booms gone bust,AER,2012,,credit;booms
mian_sufi_verner_2017,Household debt and business cycles worldwide,QJE,2017,,household-debt
cunningham_engelhardt_patterson_2016_downpayment,Down payment constraint and labor market performance,JUE,2016,,downpayment
linneman_wachter_1989_mortgage_credit,The impacts of borrowing constraints on homeownership,RE Econ,1989,,downpayment
adams_gramling_1989_dynamic_housing,A dynamic model of owner-occupied housing,JUE,1989,,housing;dynamic-model
meese_wallace_1994_index,Testing the present value relation for house prices,JAFE,1994,,housing;index
clayton_1996_rational_expectations,Rational expectations in the Vancouver housing market,JUE,1996,,housing;expectations
hwang_quigley_son_2006_housing_dynamics,Housing market dynamics,Regional Science Urban Econ,2006,,housing;dynamics
capozza_hendershott_mack_2004,An anatomy of price dynamics in illiquid markets,Real Estate Economics,2004,,illiquid;dynamics
harter_morris_2021_census_lags,Measuring lags between permit and completion in US data,USCB,2021,,us;permits;completion
himmelberg_mayer_sinai_2005,Assessing high house prices: bubbles fundamentals and misperceptions,JEP,2005,,bubbles
davis_heathcote_2005,Housing and the business cycle,IER,2005,,housing;cycle
favilukis_ludvigson_van_nieuwerburgh_2017,The macroeconomic effects of housing wealth,JPE,2017,,housing;wealth
iacoviello_2005_housing_macro,House prices borrowing constraints and monetary policy,AER,2005,,housing;macro
iacoviello_2015_financial_macro,Financial business cycles,Review Economic Dynamics,2015,,housing;financial
ortega_rubio_thomas_2011,House purchase versus rental in Spain,Review Economic Dynamics,2011,,spain;housing
kuminoff_pope_2014,Do capitalization effects for public goods reveal the public's willingness,AER,2014,,wtp;public-goods
mian_rao_sufi_2013,Household balance sheets,QJE,2013,,household-balance
greenspan_kennedy_2008_sources_changes,Sources and uses of equity extracted from homes,NBER WP,2008,,home-equity
mian_sufi_2014,What explains the 2007-2009 drop in employment,Econometrica,2014,,employment;crisis
stroebel_vavra_2019,House prices and local consumption,JPE,2019,,house-prices;consumption
fougere_kamionka_2008_duration_unemp,Econometrics of individual labor market transitions,Handbook Econometrics,2008,,labour;duration
abbring_van_den_berg_van_ours_2005,The effect of unemployment insurance,AER,2005,,ue;benefits
esri_econoutlook_2024_q4,ESRI Economic Outlook Q4 2024,ESRI,2024,,ireland;outlook
cbi_macrofin_2024,Macrofinancial review Central Bank of Ireland,CBI,2024,,ireland;macro-financial
cbi_2020_covid_covid,COVID-19 and the Irish housing market,CBI,2020,,ireland;covid;housing
pwc_2020_covid_construction,COVID-19 impact on construction sector in Ireland,PwC,2020,,ireland;covid;construction
tradingeconomics_ie_2024,Ireland Building Permits Trading Economics,TradingEconomics,2024,,ireland;permits
goodbody_2023_housing,Goodbody Irish Housing Outlook,Goodbody,2023,,ireland;housing;outlook
davy_2024_housing,Davy Irish Economics Research,Davy,2024,,ireland;housing;outlook
construction_news_ireland_2024,Construction News Ireland 2024 Archive,CNI,2024,,ireland;news;construction
rte_news_2023_commencement,RTE News April 2023 commencement figures,RTE,2023,,ireland;news;commencement
